x,y,z,value
0.0,0.0,0.0,4.964101174523733
0.0,0.0,1.0,4.969231790639458
0.0,0.0,2.0,4.9753751666746675
0.0,0.0,3.0,4.982870714309901
0.0,0.0,4.0,4.991547748218966
0.0,0.0,5.0,5.0008411676747535
0.0,0.0,6.0,5.009945828935922
0.0,0.0,7.0,5.017988278241648
0.0,0.0,8.0,5.024193097425881
0.0,0.0,9.0,5.02802243276139
0.0,0.0,10.0,5.029271143426895
0.0,0.0,11.0,5.02810592531729
0.0,0.0,12.0,5.025044002780037
0.0,0.0,13.0,5.02087464832395
0.0,0.0,14.0,5.0165339598543675
0.0,0.0,15.0,5.012949139837745
0.0,0.0,16.0,5.010872299631726
0.0,0.0,17.0,5.010725129737644
0.0,0.0,18.0,5.01247451183999
0.0,0.0,19.0,5.015555494196232
0.0,0.0,20.0,5.0188524862929285
0.0,0.0,21.0,5.020742750969081
0.0,0.0,22.0,5.019199112812079
0.0,0.0,23.0,5.011942117405584
0.0,0.0,24.0,4.996626444495249
0.0,0.0,25.0,4.971042804027663
0.0,0.0,26.0,4.933315189406978
0.0,0.0,27.0,4.882074309114298
0.0,0.0,28.0,4.816591066413139
0.0,0.0,29.0,4.736858660260914
0.0,0.0,30.0,4.64361760905381
0.0,0.0,31.0,4.5383240258822255
0.0,0.0,32.0,4.423067071695524
0.0,0.0,33.0,4.3004460445680275
0.0,0.0,34.0,4.173420561372605
0.0,0.0,35.0,4.0451485065005945
0.0,0.0,36.0,3.9188258580763438
0.0,0.0,37.0,3.7975403846061497
0.0,0.0,38.0,3.6841479531996826
0.0,0.0,39.0,3.5811763469124056
0.0,0.0,40.0,3.4907576384528887
0.0,0.0,41.0,3.4145868540712114
0.0,0.0,42.0,3.353902311493744
0.0,0.0,43.0,3.309481882244255
0.0,0.0,44.0,3.2816495606416844
0.0,0.0,45.0,3.27028796432585
0.0,0.0,46.0,3.274854415319604
0.0,0.0,47.0,3.294400608187013
0.0,0.0,48.0,3.3275980674527537
0.0,0.0,49.0,3.3727731663068883
0.0,1.0,0.0,5.026369196420496
0.0,1.0,1.0,5.045805514770529
0.0,1.0,2.0,5.06338098681726
0.0,1.0,3.0,5.079250060096729
